datetime,wind_speed,temperature,pressure,power_mw,hour,month,season,air_density,is_zero_power
2019-01-01 01:00:00,9.014,10.926,0.979103,33.6881,1,1,1,1.2166142481665712,0
2019-01-01 02:00:00,9.428,9.919,0.979566,37.261900000000004,2,1,1,1.2215196375260626,0
2019-01-01 03:00:00,8.7,8.567,0.979937,30.5029,3,1,1,1.2278467417919194,0
2019-01-01 04:00:00,8.481,7.877,0.980053,28.4192,4,1,1,1.2310071526308497,0
2019-01-01 05:00:00,8.383,7.259,0.979867,27.3703,5,1,1,1.2334860558950784,0
2019-01-01 06:00:00,8.256,6.57,0.979884,25.8059,6,1,1,1.236545803772768,0
2019-01-01 07:00:00,6.476,5.897,0.980318,11.5468,7,1,1,1.2400770791757942,0
2019-01-01 08:00:00,5.906,5.109,0.980597,8.36076,8,1,1,1.2439427733339374,0
2019-01-01 09:00:00,5.557,4.413,0.980711,6.42664,9,1,1,1.2472069862177408,0
2019-01-01 10:00:00,6.081,3.754,0.980902,9.349450000000001,10,1,1,1.250418676822595,0
2019-01-01 11:00:00,7.384,3.169,0.981166,18.613599999999998,11,1,1,1.2534032112521303,0
2019-01-01 12:00:00,9.072,2.637,0.981347,35.381099999999996,12,1,1,1.256052724125727,0
2019-01-01 13:00:00,7.142,1.948,0.981703,17.3315,13,1,1,1.2596553813612767,0
2019-01-01 14:00:00,7.451,2.296,0.982196,19.8723,14,1,1,1.2586957110756953,0
2019-01-01 15:00:00,5.764,4.042,0.982576,8.19046,15,1,1,1.2512512410208274,0
2019-01-01 16:00:00,5.887,5.504,0.982961,8.7318,16,1,1,1.2451740657071368,0
2019-01-01 17:00:00,5.866,6.217,0.983083,8.57877,17,1,1,1.242150284587152,0
2019-01-01 18:00:00,6.266,6.74,0.983409,11.03,18,1,1,1.2402403530279325,0
2019-01-01 19:00:00,6.278,7.25,0.983824,11.0884,19,1,1,1.238506997617806,0
2019-01-01 20:00:00,6.311,7.579,0.984266,11.2202,20,1,1,1.2376112995513735,0
2019-01-01 21:00:00,6.864,7.612,0.984686,14.693100000000001,21,1,1,1.2379938779864244,0
2019-01-01 22:00:00,6.904,7.139,0.985268,15.0647,22,1,1,1.2408159998100947,0
2019-01-01 23:00:00,7.024,5.44,0.986055,16.2475,23,1,1,1.24938036815259,0
2019-01-02 00:00:00,9.013,4.506,0.986852,34.74,0,1,1,1.254596362510923,0
2019-01-02 01:00:00,9.166,3.621,0.987624,35.3936,1,1,1,1.2595926372810902,0
2019-01-02 02:00:00,9.128,2.707,0.988206,35.278400000000005,2,1,1,1.2645107878809372,0
2019-01-02 03:00:00,9.849,2.043,0.988741,43.582800000000006,3,1,1,1.2682481044563265,0
2019-01-02 04:00:00,9.738,1.268,0.988973,42.3415,4,1,1,1.2721282629406279,0
2019-01-02 05:00:00,9.544,0.357,0.989072,40.3467,5,1,1,1.2764932502670907,0
2019-01-02 06:00:00,9.712,-0.702,0.989481,42.2588,6,1,1,1.281984860230721,0
2019-01-02 07:00:00,10.046,-0.28,0.989868,45.569900000000004,7,1,1,1.2805028668568168,0
2019-01-02 08:00:00,9.75,-0.126,0.990032,41.6162,8,1,1,1.2799926277318796,0
2019-01-02 09:00:00,9.874,-0.215,0.990204,42.978300000000004,9,1,1,1.2806324619663774,0
2019-01-02 10:00:00,9.755,-0.281,0.990265,41.306599999999996,10,1,1,1.2810211245364789,0
2019-01-02 11:00:00,9.614,-0.478,0.990621,39.9035,11,1,1,1.2824074958353149,0
2019-01-02 12:00:00,9.616,-0.631,0.990962,40.5643,12,1,1,1.2835691653367387,0
2019-01-02 13:00:00,9.817,-0.747,0.991278,42.8628,13,1,1,1.2845252414631536,0
